䆍,loŋ
𪚗,loŋ
嚨,loŋ
蘢,loŋ/lyoŋ
櫳,loŋ
𤮨,loŋ
巃,loŋ/lóŋ
襱,loŋ/lóŋ/dryóŋ
𧙥,loŋ
瓏,loŋ
曨,loŋ/lóŋ
鸗,loŋ/lyoŋ
𩟭,loŋ
蠪,loŋ
㟅,loŋ/ŋoŋ/ŋroŋ
屸,loŋ
洪,ghoŋ
鉷,ghoŋ
訌,ghoŋ
紅,ghoŋ
虹,ghoŋ/kòŋ/kròŋ
仜,ghoŋ
鴻,ghoŋ/ghóŋ
葒,ghoŋ
葓,ghoŋ
谼,ghoŋ
䉺,ghoŋ
烘,ghoŋ/qhoŋ/ghòŋ/qhòŋ
洚,ghoŋ/ghuŋ/ghroŋ/kròŋ
渱,ghoŋ
𨹁,ghoŋ/kòŋ
䧆,ghoŋ
䪦,ghoŋ
𦏺,ghoŋ
䫹,ghoŋ
𨾊,ghoŋ
叢,dzoŋ
藂,dzoŋ
䕺,dzoŋ
𥵫,dzoŋ
翁,qoŋ
螉,qoŋ
䱵,qoŋ
蓊,qoŋ/qóŋ
䈵,qoŋ/qóŋ
䩺,qoŋ
㮬,qoŋ
𩔚,qoŋ
怱,choŋ
忩,choŋ
葱,choŋ
楤,choŋ
𨍉,choŋ
聦,choŋ
繱,choŋ
𤧚,choŋ
騘,choŋ
䗓,choŋ
囪,choŋ/chroŋ
𨣭,choŋ
鍯,choŋ
㷓,choŋ/cóŋ
𢉛,choŋ/cóŋ
通,thoŋ
蓪,thoŋ
恫,thoŋ/dòŋ
痌,thoŋ
俑,thoŋ/jyóŋ
𧳆,thoŋ
𨀜,thoŋ
葼,coŋ
鬷,coŋ
嵕,coŋ
猣,coŋ/cóŋ
豵,coŋ/cyoŋ
鯼,coŋ/còŋ
椶,coŋ
騣,coŋ
𩮀,coŋ/cóŋ
䗥,coŋ/chyoŋ
嵸,coŋ/cóŋ
艐,coŋ/krèi/khà
蝬,coŋ
堫,coŋ/chroŋ
𥓻,coŋ
翪,coŋ/cóŋ
緵,coŋ/còŋ
㚇,coŋ/còŋ
㣭,coŋ
稯,coŋ
鬉,coŋ
蓬,boŋ
𥭗,boŋ
篷,boŋ
髼,boŋ
蜂,boŋ/phyoŋ
𧚋,boŋ
韸,boŋ
䮾,boŋ/l*roŋ
𩖛,boŋ/briəu
叿,qhoŋ
谾,qhoŋ/qhroŋ
𩐠,qhoŋ
𩗄,qhoŋ
檧,soŋ/sóŋ
憽,soŋ
㬝,soŋ
冬,tuŋ
𠔙,tuŋ
苳,tuŋ
䳉,tuŋ
笗,tuŋ
𩂓,tuŋ
𧲴,tuŋ
彤,duŋ
疼,duŋ
佟,duŋ
炵,duŋ/thuŋ
䳋,duŋ
鼕,duŋ
𢥞,duŋ
𢾮,duŋ
㤏,duŋ
痋,duŋ
䂈,duŋ
鉵,duŋ
𧹝,duŋ
浵,duŋ
𠩁,duŋ
鉖,duŋ
𨜳,duŋ
㠽,duŋ
赨,duŋ
賨,dzuŋ
琮,dzuŋ
悰,dzuŋ
淙,dzuŋ/dzroŋ/sròŋ
慒,dzuŋ/zyu
鬃,dzuŋ/dzroŋ
㼻,dzuŋ/dzroŋ
孮,dzuŋ
誴,dzuŋ
𢃏,dzuŋ
農,nuŋ
䢉,nuŋ
辳,nuŋ
𨑋,nuŋ
𩟊,nuŋ/nroŋ/nróŋ
噥,nuŋ/nroŋ
𩅽,nuŋ
憹,nuŋ
㺜,nuŋ/nrau/nau
儂,nuŋ
𧗕,nuŋ
膿,nuŋ
䃔,ghuŋ/ghùŋ
㗢,ghuŋ/dòŋ/ghùŋ
𩘎,ghuŋ
䃧,luŋ
䥢,luŋ
𣫣,luŋ
宗,cuŋ
倧,cuŋ
鬆,suŋ/syoŋ/chyoŋ/sòŋ
䯳,suŋ
鍾,tyoŋ
鐘,tyoŋ
忪,tyoŋ
䇗,tyoŋ
蹱,tyoŋ/thryoŋ/thryòŋ
彸,tyoŋ
衳,tyoŋ
伀,tyoŋ
籦,tyoŋ
妐,tyoŋ
㕬,tyoŋ
𧢸,tyoŋ/kroŋ
炂,tyoŋ
𦬘,tyoŋ
𨳗,tyoŋ
鈆,tyoŋ/jyen
龍,lyoŋ
𪚝,lyoŋ
躘,lyoŋ/lyòŋ
驡,lyoŋ/cáŋ
𪚠,lyoŋ
𦪽,lyoŋ
舂,shyoŋ
𧐍,shyoŋ
摏,shyoŋ
蹖,shyoŋ
𪄻,shyoŋ
憃,shyoŋ/throŋ/thryòŋ
松,zyoŋ
㮤,zyoŋ
淞,zyoŋ/syoŋ
訟,zyoŋ/zyòŋ
𧘂,thyoŋ
衝,thyoŋ
憧,thyoŋ/dròŋ
䡴,thyoŋ/dròŋ
艟,thyoŋ/dròŋ
褈,thyoŋ/dryoŋ
𠟍,thyoŋ
𠝤,thyoŋ
䂌,thyoŋ
容,jyoŋ
溶,jyoŋ/jyóŋ
滽,jyoŋ
庸,jyoŋ
𦤘,jyoŋ
𧴄,jyoŋ
㺎,jyoŋ
𤛑,jyoŋ
墉,jyoŋ
鎔,jyoŋ
鏞,jyoŋ
銿,jyoŋ
鄘,jyoŋ
傭,jyoŋ/thryoŋ
𪅟,jyoŋ
㼸,jyoŋ
𤮇,jyoŋ
鱅,jyoŋ/dyoŋ
蓉,jyoŋ
䗤,jyoŋ
傛,jyoŋ/jyóŋ
褣,jyoŋ
搈,jyoŋ
瑢,jyoŋ
䈶,jyoŋ
嵱,jyoŋ
頌,jyoŋ/zyòŋ
㝐,jyoŋ
䡆,jyoŋ
㟾,jyoŋ
𨲟,jyoŋ
𪃾,jyoŋ
槦,jyoŋ
㣑,jyoŋ
𢧳,jyoŋ
封,pyoŋ/pyòŋ
𡉚,pyoŋ
犎,pyoŋ
葑,pyoŋ/pyòŋ
崶,pyoŋ
胷,qhyoŋ
凶,qhyoŋ
𣧑,qhyoŋ
銎,qhyoŋ/khyoŋ
洶,qhyoŋ/qhyóŋ
恟,qhyoŋ
𧧗,qhyoŋ
兇,qhyoŋ/qhyóŋ
訩,qhyoŋ
匈,qhyoŋ
顒,ŋyoŋ
𩤛,ŋyoŋ
鰅,ŋyoŋ/ŋyo
喁,ŋyoŋ
邕,qyoŋ
雍,qyoŋ/qyòŋ
噰,qyoŋ
嗈,qyoŋ
郺,qyoŋ/qóŋ
澭,qyoŋ
灉,qyoŋ/qyòŋ
癰,qyoŋ
罋,qyoŋ/qòŋ
廱,qyoŋ
饔,qyoŋ
壅,qyoŋ/qyóŋ
雝,qyoŋ
𪄉,qyoŋ
㻾,qyoŋ
𧴗,qyoŋ
醲,nryoŋ
𨑊,nryoŋ/nóŋ/nróŋ
濃,nryoŋ
襛,nryoŋ/nyoŋ
穠,nryoŋ/nyoŋ
檂,nryoŋ
𪒬,nryoŋ
𨲳,nryoŋ
重,dryoŋ/dryóŋ/dryòŋ
緟,dryoŋ/dryòŋ
䳯,dryoŋ
蝩,dryoŋ
從,dzyoŋ/chyoŋ/dzyòŋ
从,dzyoŋ
𩀰,dzyoŋ
𦟛,thryoŋ
𨙦,thryoŋ
䝑,thryoŋ
𨤩,thryoŋ
𪒒,thryoŋ
逢,byoŋ
縫,byoŋ/byòŋ
漨,byoŋ
䩼,byoŋ
𥎌,byoŋ
夆,byoŋ/ghài
𥛝,byoŋ
捀,byoŋ/byòŋ
峯,phyoŋ
鋒,phyoŋ
丰,phyoŋ
𡴀,phyoŋ
𢓱,phyoŋ
妦,phyoŋ
蠭,phyoŋ
𧒒,phyoŋ
桻,phyoŋ
㷭,phyoŋ
烽,phyoŋ
莑,phyoŋ
仹,phyoŋ
㸼,phyoŋ
縱,cyoŋ/cyòŋ
𣯨,cyoŋ
蹤,cyoŋ
䡮,cyoŋ
樅,cyoŋ/chyoŋ
磫,cyoŋ
熧,cyoŋ
𧺣,cyoŋ/chyoŋ
茸,nyoŋ
䩸,nyoŋ/nyòŋ
髶,nyoŋ/nì
䇯,nyoŋ
搑,nyoŋ/nyóŋ
𥎂,nyoŋ
榵,nyoŋ
穁,nyoŋ/nyóŋ
蛩,gyoŋ
邛,gyoŋ
舼,gyoŋ
𦨰,gyoŋ
筇,gyoŋ
輁,gyoŋ/kyóŋ
𦭭,gyoŋ
䂬,gyoŋ/kyóŋ
蛬,gyoŋ/kyóŋ
𠌖,gyoŋ
𩬰,gyoŋ
桏,gyoŋ
䅃,gyoŋ/gyóŋ
𤤶,gyoŋ
𩢽,gyoŋ
慵,dyoŋ
𩌨,dyoŋ
恭,kyoŋ
龔,kyoŋ
供,kyoŋ/kyòŋ
珙,kyoŋ/kyóŋ
䢼,kyoŋ
共,kyoŋ/gyòŋ
𤱨,kyoŋ
廾,kyoŋ/kyóŋ
髸,kyoŋ
䳍,kyoŋ
蜙,syoŋ
凇,syoŋ/sòŋ
倯,syoŋ
𢔋,syoŋ
鏦,chyoŋ/chroŋ
暰,chyoŋ
瑽,chyoŋ
摐,chyoŋ/chroŋ
䐫,chyoŋ
𥡬,chyoŋ
𨑪,chyoŋ
江,kroŋ
扛,kroŋ
杠,kroŋ
茳,kroŋ
矼,kroŋ
豇,kroŋ
肛,kroŋ/qhroŋ
䜫,kroŋ
厖,mroŋ
駹,mroŋ
狵,mroŋ
尨,mroŋ
浝,mroŋ
哤,mroŋ
牻,mroŋ
娏,mroŋ
䵨,mroŋ
㟌,mroŋ
蛖,mroŋ
𥆙,mroŋ
痝,mroŋ
𠈵,mroŋ/mróŋ
𦗳,nroŋ
𣰊,nroŋ
